10.12.2019
Şampiyonlar Ligi Haftası 10.12.2019 - 11.12.2019
salzburg liverpool MS_2 1.58 y
dortmund prag KG_VAR 1.62 y
inter barcelona MS_1_ve_4.5_ALT 1.85 n
benfica zenit 1Y_2 3.25 n
ajax valencia CANLI_5.5_KORNER_UST 1.75 y
lyon leipzig 2.5_ÜST 1.45 y
lyon leipzig MS_2_ve_2.5_ÜST 3.40 n
chelsea lille KG_VAR 1.85 y
zagrep mancity 4.5_ALT 1.20
shakhtar atalanta KG_VAR 1.35
shakhtar atalanta MS_1_ve_2.5_ÜST 3.20
paris galatasaray HAND(0-2)_MS_1 1.75
paris galatasaray 1Y_1.5_üst 1.70
paris galatasaray MS_1/1 1.30
brugge rmadrid DEP_GOL_1.5_ÜST 1.65
bmunih tottenham MS_X 4.0
atmadrid moskova KORNER_12.5_ÜST 2.45
atmadrid moskova KORNER_9.5_ÜST 1.67
atmadrid moskova KORNER_8.5_ÜST 1.38
olympiakos kizilyildiz KORNER_8.5_ÜST 1.45
leverkusen juventus KORNER_12.5_ÜST 2.40
leverkusen juventus KORNER_9.5_ÜST 1.62
leverkusen juventus KORNER_8.5_ÜST 1.30
